2025-03-27 04:39:04.488427: Олень (1, 0) съел растение на (0, 1). Голод: 0
2025-03-27 04:39:04.488427: Олень (12, 8) съел растение на (11, 7). Голод: 0
2025-03-27 04:39:04.497431: Олень (4, 12) съел растение на (5, 12). Голод: 0
2025-03-27 04:39:04.506385: Олень (11, 10) съел растение на (11, 11). Голод: 0
2025-03-27 04:39:04.515389: Олень (4, 14) съел растение на (3, 15). Голод: 0
2025-03-27 04:39:04.523429: Олень (12, 10) съел растение на (12, 9). Голод: 0
2025-03-27 04:39:04.532391: Волк переместился с (6, 8) в (7, 9). Голод: 3
2025-03-27 04:39:04.541390: Волк переместился с (16, 11) в (17, 11). Голод: 3
2025-03-27 04:39:04.549429: Волк переместился с (19, 18) в (18, 17). Голод: 3
2025-03-27 04:39:04.558391: Волк переместился с (17, 17) в (18, 16). Голод: 3
2025-03-27 04:39:04.567393: Волк переместился с (5, 11) в (4, 12). Голод: 1
2025-03-27 04:39:04.575563: Волк переместился с (10, 10) в (11, 9). Голод: 3
2025-03-27 04:39:04.584698: Волк переместился с (4, 3) в (4, 4). Голод: 1
2025-03-27 04:39:04.593657: Волк переместился с (18, 8) в (18, 7). Голод: 3
2025-03-27 04:39:04.601693: Волк переместился с (8, 18) в (8, 17). Голод: 3
2025-03-27 04:39:04.610697: Волк переместился с (9, 19) в (8, 18). Голод: 3
2025-03-27 04:39:04.619701: Волк переместился с (12, 0) в (11, 1). Голод: 1
2025-03-27 04:39:04.628657: Волк переместился с (13, 8) в (12, 8). Голод: 3
2025-03-27 04:39:04.636653: Волк переместился с (18, 13) в (19, 14). Голод: 1
2025-03-27 04:39:04.645698: Волк переместился с (10, 0) в (11, 1). Голод: 3
